UNDETEK.EXE — Full Decompiled Source Manifest
======================================================================

Address            Category         Resolved Name                                 Ghidra Name
0x1400087e0        misc             FUN_1400087e0                                 FUN_1400087e0
0x140008800        utility          bad_alloc                                     bad_alloc
0x140008840        utility          FUN_140008840                                 FUN_140008840
0x140008880        utility          FUN_140008880                                 FUN_140008880
0x1400088c0        utility          bad_array_new_length                          bad_array_new_length
0x140008900        utility          exception                                     exception
0x140008960        utility          exception                                     exception
0x1400089b0        misc             FUN_1400089b0                                 FUN_1400089b0
0x1400089d0        misc             FUN_1400089d0                                 FUN_1400089d0
0x1400089f0        misc             FUN_1400089f0                                 FUN_1400089f0
0x140008a20        misc             FUN_140008a20                                 FUN_140008a20
0x140008a50        utility          ~basic_string<>                               ~basic_string<>
0x140008a80        misc             FUN_140008a80                                 FUN_140008a80
0x140008aa0        misc             FUN_140008aa0                                 FUN_140008aa0
0x140008b10        misc             FUN_140008b10                                 FUN_140008b10
0x140008b30        misc             FUN_140008b30                                 FUN_140008b30
0x140008b50        utility          FUN_140008b50                                 FUN_140008b50
0x140008b80        misc             FUN_140008b80                                 FUN_140008b80
0x140008b90        utility          operator[]                                    operator[]
0x140008bc0        misc             FUN_140008bc0                                 FUN_140008bc0
0x140008bf0        misc             FUN_140008bf0                                 FUN_140008bf0
0x140008c30        misc             FUN_140008c30                                 FUN_140008c30
0x140008c70        misc             FUN_140008c70                                 FUN_140008c70
0x140008cb0        misc             FUN_140008cb0                                 FUN_140008cb0
0x140008d50        misc             FUN_140008d50                                 FUN_140008d50
0x140008d60        misc             FUN_140008d60                                 FUN_140008d60
0x140008d80        misc             FUN_140008d80                                 FUN_140008d80
0x140008dc0        misc             FUN_140008dc0                                 FUN_140008dc0
0x140008e50        utility          _Calculate_growth                             _Calculate_growth
0x140008ef0        misc             FUN_140008ef0                                 FUN_140008ef0
0x140008f80        misc             FUN_140008f80                                 FUN_140008f80
0x140009080        misc             FUN_140009080                                 FUN_140009080
0x1400090c0        misc             FUN_1400090c0                                 FUN_1400090c0
0x1400090e0        misc             FUN_1400090e0                                 FUN_1400090e0
0x140009110        utility          _Myptr                                        _Myptr
0x140009150        misc             FUN_140009150                                 FUN_140009150
0x140009170        misc             FUN_140009170                                 FUN_140009170
0x1400091d0        utility          FUN_1400091d0                                 FUN_1400091d0
0x140009200        misc             FUN_140009200                                 FUN_140009200
0x1400092d0        misc             FUN_1400092d0                                 FUN_1400092d0
0x140009380        misc             FUN_140009380                                 FUN_140009380
0x1400093a0        misc             FUN_1400093a0                                 FUN_1400093a0
0x1400093c0        utility          allocate                                      allocate
0x1400093f0        misc             FUN_1400093f0                                 FUN_1400093f0
0x140009420        misc             FUN_140009420                                 FUN_140009420
0x140009440        misc             FUN_140009440                                 FUN_140009440
0x140009480        misc             FUN_140009480                                 FUN_140009480
0x1400094b0        misc             FUN_1400094b0                                 FUN_1400094b0
0x140009540        utility          FUN_140009540                                 FUN_140009540
0x1400096d0        misc             FUN_1400096d0                                 FUN_1400096d0
0x140009700        misc             FUN_140009700                                 FUN_140009700
0x140009730        misc             FUN_140009730                                 FUN_140009730
0x140009780        runtime          FUN_140009780                                 FUN_140009780
0x140009920        misc             FUN_140009920                                 FUN_140009920
0x140009990        runtime          FUN_140009990                                 FUN_140009990
0x140009b90        process_enum     process_find_by_name                          FUN_140009b90
0x140009c60        utility          hex_char_to_int                               FUN_140009c60
0x140009cb0        misc             stub_return_zero                              FUN_140009cb0
0x140009cc0        utility          strlen_wrapper                                FUN_140009cc0
0x140009ce0        network          json_parse_field                              FUN_140009ce0
0x140009e00        misc             FUN_140009e00                                 FUN_140009e00
0x140009e10        misc             FUN_140009e10                                 FUN_140009e10
0x140009e20        utility          max_size                                      max_size
0x140009e90        utility          FUN_140009e90                                 FUN_140009e90
0x140009ee0        misc             FUN_140009ee0                                 FUN_140009ee0
0x140009f10        obfuscation      encode_wide_string                            FUN_140009f10
0x140009f80        misc             FUN_140009f80                                 FUN_140009f80
0x140009f90        misc             FUN_140009f90                                 FUN_140009f90
0x140009fa0        misc             FUN_140009fa0                                 FUN_140009fa0
0x140009fd0        misc             FUN_140009fd0                                 FUN_140009fd0
0x14000a008        utility          CreateToolhelp32Snapshot                      CreateToolhelp32Snapshot
0x14000a00e        utility          Process32First                                Process32First
0x14000a014        utility          Process32Next                                 Process32Next
0x14000a01c        utility          FUN_14000a01c                                 FUN_14000a01c
0x14000a040        utility          FUN_14000a040                                 FUN_14000a040
0x14000a07c        utility          FUN_14000a07c                                 FUN_14000a07c
0x14000a0c4        utility          FUN_14000a0c4                                 FUN_14000a0c4
0x14000a114        utility          FUN_14000a114                                 FUN_14000a114
0x14000a158        misc             FUN_14000a158                                 FUN_14000a158
0x14000a17c        runtime          tls_callback                                  operator_new
0x14000a1b8        runtime          tls_callback_stub                             operator_new
0x14000a1c0        runtime          tls_callback_stub2                            thunk_FUN_14001b320
0x14000a1c8        misc             FUN_14000a1c8                                 FUN_14000a1c8
0x14000a1e8        runtime          FUN_14000a1e8                                 FUN_14000a1e8
0x14000a260        runtime          security_cookie_init                          __chkstk
0x14000a2c0        runtime          crt_startup_init                              __security_check_cookie
0x14000a2e0        utility          thunk_FUN_14001b320                           thunk_FUN_14001b320
0x14000a2e8        misc             FUN_14000a2e8                                 FUN_14000a2e8
0x14000a368        misc             FUN_14000a368                                 FUN_14000a368
0x14000a394        persistence      FUN_14000a394                                 FUN_14000a394
0x14000a44c        misc             FUN_14000a44c                                 FUN_14000a44c
0x14000a45c        misc             FUN_14000a45c                                 FUN_14000a45c
0x14000a478        utility          __scrt_common_main_seh                        __scrt_common_main_seh
0x14000a5f4        main             entry_point_winmain                           entry
0x14000a608        misc             FUN_14000a608                                 FUN_14000a608
0x14000a628        utility          FUN_14000a628                                 FUN_14000a628
0x14000a648        runtime          atexit_handler                                __raise_securityfailure
0x14000a67c        runtime          FUN_14000a67c                                 FUN_14000a67c
0x14000a750        runtime          heap_init                                     FUN_14000a750
0x14000a7c4        utility          __scrt_acquire_startup_lock                   __scrt_acquire_startup_lock
0x14000a800        misc             FUN_14000a800                                 FUN_14000a800
0x14000a83c        utility          __scrt_initialize_onexit_tables               __scrt_initialize_onexit_tables
0x14000a8c8        cheat_features   FUN_14000a8c8                                 FUN_14000a8c8
0x14000a960        utility          __scrt_release_startup_lock                   __scrt_release_startup_lock
0x14000a984        utility          __scrt_uninitialize_crt                       __scrt_uninitialize_crt
0x14000a9b0        utility          _onexit                                       _onexit
0x14000a9ec        utility          atexit                                        atexit
0x14000aa04        runtime          FUN_14000aa04                                 FUN_14000aa04
0x14000aab4        misc             FUN_14000aab4                                 FUN_14000aab4
0x14000aab8        misc             FUN_14000aab8                                 FUN_14000aab8
0x14000aac0        misc             FUN_14000aac0                                 FUN_14000aac0
0x14000aac8        misc             FUN_14000aac8                                 FUN_14000aac8
0x14000aad8        misc             FUN_14000aad8                                 FUN_14000aad8
0x14000aadc        utility          _guard_check_icall                            _guard_check_icall
0x14000aae0        misc             FUN_14000aae0                                 FUN_14000aae0
0x14000aafc        misc             FUN_14000aafc                                 FUN_14000aafc
0x14000ab08        misc             FUN_14000ab08                                 FUN_14000ab08
0x14000ab10        misc             FUN_14000ab10                                 FUN_14000ab10
0x14000ab18        misc             FUN_14000ab18                                 FUN_14000ab18
0x14000ab24        misc             FUN_14000ab24                                 FUN_14000ab24
0x14000ac70        utility          thunk_FUN_14000aab4                           thunk_FUN_14000aab4
0x14000ac78        misc             FUN_14000ac78                                 FUN_14000ac78
0x14000accc        misc             FUN_14000accc                                 FUN_14000accc
0x14000acdc        misc             FUN_14000acdc                                 FUN_14000acdc
0x14000ad40        runtime          FUN_14000ad40                                 FUN_14000ad40
0x14000ad7c        runtime          FUN_14000ad7c                                 FUN_14000ad7c
0x14000adb8        cheat_features   FUN_14000adb8                                 FUN_14000adb8
0x14000b050        utility          __scrt_is_ucrt_dll_in_use                     __scrt_is_ucrt_dll_in_use
0x14000b060        rendering        vgui_surface_getfunc                          FUN_14000b060
0x14000b0e0        rendering        vgui_overlay_renderer                         FUN_14000b0e0
0x14000b2d4        utility          FUN_14000b2d4                                 FUN_14000b2d4
0x14000b354        misc             FUN_14000b354                                 FUN_14000b354
0x14000b37c        runtime          FUN_14000b37c                                 FUN_14000b37c
0x14000b424        runtime          FUN_14000b424                                 FUN_14000b424
0x14000b478        runtime          FUN_14000b478                                 FUN_14000b478
0x14000b4cc        misc             FUN_14000b4cc                                 FUN_14000b4cc
0x14000b530        misc             FUN_14000b530                                 FUN_14000b530
0x14000b65c        misc             FUN_14000b65c                                 FUN_14000b65c
0x14000b688        misc             FUN_14000b688                                 FUN_14000b688
0x14000b690        utility          FrameUnwindToEmptyState                       FrameUnwindToEmptyState
0x14000b6f4        utility          FrameUnwindToEmptyState                       FrameUnwindToEmptyState
0x14000b728        misc             FUN_14000b728                                 FUN_14000b728
0x14000b810        misc             FUN_14000b810                                 FUN_14000b810
0x14000b834        misc             FUN_14000b834                                 FUN_14000b834
0x14000b96c        misc             FUN_14000b96c                                 FUN_14000b96c
0x14000baec        runtime          FUN_14000baec                                 FUN_14000baec
0x14000bbf0        runtime          FUN_14000bbf0                                 FUN_14000bbf0
0x14000bd10        misc             FUN_14000bd10                                 FUN_14000bd10
0x14000befc        utility          _CreateFrameInfo                              _CreateFrameInfo
0x14000bf38        misc             FUN_14000bf38                                 FUN_14000bf38
0x14000bf8c        misc             FUN_14000bf8c                                 FUN_14000bf8c
0x14000bfa0        misc             FUN_14000bfa0                                 FUN_14000bfa0
0x14000bfb4        misc             FUN_14000bfb4                                 FUN_14000bfb4
0x14000bfcc        misc             FUN_14000bfcc                                 FUN_14000bfcc
0x14000bfe4        utility          __CxxFrameHandler3                            __CxxFrameHandler3
0x14000c06c        misc             FUN_14000c06c                                 FUN_14000c06c
0x14000c140        misc             FUN_14000c140                                 FUN_14000c140
0x14000c358        utility          __vcrt_initialize                             __vcrt_initialize
0x14000c380        utility          __vcrt_uninitialize                           __vcrt_uninitialize
0x14000c39c        utility          FUN_14000c39c                                 FUN_14000c39c
0x14000c3b4        runtime          FUN_14000c3b4                                 FUN_14000c3b4
0x14000c428        misc             FUN_14000c428                                 FUN_14000c428
0x14000c42c        utility          _IsExceptionObjectToBeDestroyed               _IsExceptionObjectToBeDestroyed
0x14000c45c        utility          __AdjustPointer                               __AdjustPointer
0x14000c480        misc             FUN_14000c480                                 FUN_14000c480
0x14000c4e8        misc             FUN_14000c4e8                                 FUN_14000c4e8
0x14000c4fc        misc             FUN_14000c4fc                                 FUN_14000c4fc
0x14000c510        misc             Unwind@14000c510                              Unwind@14000c510
0x14000c520        misc             FUN_14000c520                                 FUN_14000c520
